frame,leg,theta1_deg,theta2_deg,theta3_deg,d_theta1_deg,d_theta2_deg,residual_deg,residual_steps,foot_x_mm,foot_y_mm,foot_z_mm,signed_reach_mm,status
G0017,R1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0017,R2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0017,R3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0017,L1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0017,L2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0017,L3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0018,R1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0018,R2,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0018,R3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0018,L1,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0018,L2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0018,L3,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0019,R1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
